ticker,timeframe,direction,score,confidence,signals_passed,candles_analyzed,vlm_verdict,vlm_confidence,chart_path,sig_linreg_slope,sig_mann-kendall,sig_adx,sig_market_structure_hh_hl,sig_pivot_channel,timestamp
NZDUSD=X,1h,none,0,0.0,,2000,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/NZDUSD=X_NONE_1h_20260421_225856.png,✗ none 0.01,✓ down 1.00,✗ none 0.37,✗ none 0.49,✗ none 0.00,2026-04-21T22:59:01.615592
NZDUSD=X,1m,none,0,0.0,,2000,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/NZDUSD=X_NONE_1m_20260421_225900.png,✗ none 0.01,✓ up 1.00,✓ up 0.55,✗ none 0.32,✗ none 0.00,2026-04-21T22:59:01.615973
BTC-USD,1h,down,3,0.789,"LinReg Slope, Mann-Kendall, Pivot Channel",2000,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/BTC-USD_DOWN_1h_20260421_230049.png,✓ down 0.37,✓ down 1.00,✓ up 0.51,✗ none 0.53,✓ down 1.00,2026-04-21T23:01:00.256631
BTC-USD,1m,none,0,0.0,,2000,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/BTC-USD_NONE_1m_20260421_230052.png,✗ none 0.05,✓ up 1.00,✓ up 0.41,✗ none 0.45,✗ none 0.00,2026-04-21T23:01:00.257539
ETH-USD,1h,none,0,0.0,,2000,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/ETH-USD_NONE_1h_20260421_230055.png,✓ down 0.39,✓ up 1.00,✓ up 0.44,✗ none 0.52,✓ down 1.00,2026-04-21T23:01:00.257715
ETH-USD,1m,none,0,0.0,,2000,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/ETH-USD_NONE_1m_20260421_230059.png,✗ none 0.01,✓ up 1.00,✓ up 0.45,✗ none 0.48,✗ none 0.00,2026-04-21T23:01:00.257798
AUDNZD=X,1h,none,0,0.0,,2000,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/AUDNZD=X_NONE_1h_20260421_230507.png,✗ none 0.20,✓ up 1.00,✓ down 0.50,✗ none 0.52,✓ up 0.58,2026-04-21T23:05:12.992512
AUDNZD=X,1m,none,0,0.0,,2000,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/AUDNZD=X_NONE_1m_20260421_230512.png,✗ none 0.02,✓ down 1.00,✓ down 1.00,✗ none 0.45,✗ none 0.00,2026-04-21T23:05:12.993555
AUDNZD=X,1h,none,0,0.0,True,ATR Filter,,1500,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/AUDNZD_X_NONE_1h_20260421_230806.png,✓ up 0.23,✓ up 1.00,✓ down 0.50,✗ none 0.52,✓ up 0.68,✓ up 0.88,✗ up 0.06,✓ up 1.00,2026-04-21T23:08:09.874008
AUDNZD=X,1m,none,0,0.0,False,ATR Filter,,500,,,,✗ none 0.02,✓ up 1.00,✓ down 1.00,✗ none 0.52,✗ none 0.00,✓ up 0.65,✗ up 0.03,✓ none 1.00,2026-04-21T23:08:09.874682
BTC-USD,1h,none,0,0.0,True,ATR Filter,,1500,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/BTC-USD_NONE_1h_20260421_231149.png,✓ up 0.41,✓ up 1.00,✓ down 0.43,✗ none 0.51,✓ up 1.00,✓ up 0.36,✗ up 0.02,✓ up 1.00,2026-04-21T23:12:15.091031
BTC-USD,1m,none,0,0.0,False,ATR Filter,,500,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/BTC-USD_NONE_1m_20260421_231151.png,✗ none 0.19,✓ down 1.00,✗ none 0.29,✗ none 0.49,✓ down 0.58,✓ down 0.71,✗ down 0.06,✓ none 1.00,2026-04-21T23:12:15.091708
AUDJPY=X,1h,none,0,0.0,True,"ATR Filter, Trend Break",,1500,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/AUDJPY_X_NONE_1h_20260421_231210.png,✓ up 0.20,✓ up 1.00,✗ none 0.29,✗ none 0.55,✓ up 0.64,✓ up 0.60,✗ up 0.04,✗ up 0.00,2026-04-21T23:12:15.092503
AUDJPY=X,1m,none,0,0.0,False,"R² Linearity, ATR Filter",,500,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/AUDJPY_X_NONE_1m_20260421_231214.png,✗ none 0.02,✓ up 1.00,✗ none 0.33,✗ none 0.53,✗ none 0.00,✗ up 0.13,✗ up 0.02,✓ none 1.00,2026-04-21T23:12:15.092849
NZDUSD=X,1h,none,0,0.0,True,"ATR Filter, Trend Break",,1500,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/NZDUSD_X_NONE_1h_20260421_231724.png,✓ down 0.21,✓ down 1.00,✗ none 0.37,✗ none 0.51,✓ down 0.58,✓ down 0.59,✗ down 0.00,✗ down 0.00,2026-04-21T23:17:27.500668
NZDUSD=X,1m,none,0,0.0,False,"R² Linearity, ATR Filter",,500,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/NZDUSD_X_NONE_1m_20260421_231727.png,✗ none 0.03,✓ down 1.00,✗ none 0.37,✗ none 0.38,✗ none 0.00,✗ down 0.26,✗ down 0.15,✓ none 1.00,2026-04-21T23:17:27.501510
NZDUSD=X,1h,none,0,0.0,False,"R² Linearity, ATR Filter",,2000,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/NZDUSD_X_NONE_1h_20260421_231915.png,✗ none 0.01,✓ down 1.00,✗ none 0.37,✗ none 0.48,✗ none 0.00,✗ down 0.00,✗ up 0.01,✓ none 1.00,2026-04-21T23:19:19.544654
NZDUSD=X,1m,none,0,0.0,False,"R² Linearity, ATR Filter",,500,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/NZDUSD_X_NONE_1m_20260421_231919.png,✗ none 0.03,✓ down 1.00,✗ none 0.37,✗ none 0.38,✗ none 0.00,✗ down 0.26,✗ down 0.15,✓ none 1.00,2026-04-21T23:19:19.545354
CADCHF=X,1m,none,0,0.0,False,ATR Filter,,500,,,/Users/abdulwadood/Documents/personalProjects/iTrade/trend_scanner/output/charts/CADCHF_X_NONE_1m_20260421_234757.png,✗ none 0.03,✓ up 1.00,✓ down 1.00,✗ none 0.41,✗ none 0.00,✓ up 0.71,✗ up 0.01,✓ none 1.00,2026-04-21T23:47:57.307881
